,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
373,J0310.8+3814,fsrq,,J0310.6+3812,J0310.7+3813
374,J0312.1-0921,,,,J0312.5-0914
375,J0312.7-2222,,,,
376,J0312.7+2011,,,,J0312.8+2013
377,J0312.7+0133,fsrq,,J0312.6+0131,J0312.6+0132
378,J0312.7+3613,bll,,,
379,J0314.3-5103,bll,,J0315.6-5109,J0314.2-5106
380,J0315.5-1026,fsrq,,J0315.9-1033,J0315.8-1024
381,J0316.1+0904,bll,,J0316.1+0904,J0316.1+0904
382,J0316.1-2611,bll,,J0315.9-2609,J0315.8-2611
383,J0316.2-6436,bll,,J0316.3-6438,J0316.1-6434
384,J0316.6+4119,rdg,,,J0316.6+4119
385,J0318.1+0252,,,J0318.1+0254,J0318.0+0255
386,J0318.7+2134,bcu,,,
387,J0319.8+4130,RDG,J0320.0+4131,J0319.7+4130,J0319.8+4130
388,J0319.8+1847,bll,,J0319.7+1847,J0319.6+1849
389,J0322.0+2335,bll,,J0322.1+2336,J0322.0+2336
390,J0322.5-3721,,,,J0322.4-3717
391,J0323.6-0109,bll,,J0323.7-0106,J0323.6-0108
392,J0323.7-6038,,,,
393,J0324.5-1315,,,,
394,J0325.2+3410,nlsy1,,J0325.0+3403,J0324.8+3408
395,J0325.2-5634,bll,,J0325.6-5626,J0325.1-5635
396,J0325.5+2223,fsrq,,J0325.9+2219,J0326.1+2226
397,J0325.6-1648,bll,,J0325.9-1649,J0325.6-1650
398,J0326.0-1842,bcu,,,
399,J0326.2+0225,bll,,J0326.2+0222,J0326.1+0224
400,J0327.4+5828c,,,,
401,J0330.6+0437,,,,
402,J0331.3-6155,bcu,,,
403,J0332.0+6308,bcu,,J0332.0+6310,J0332.1+6309
404,J0332.4+6110,,,,
405,J0332.4+4644,,,,
406,J0333.4+7853,bcu,,,
407,J0333.4+4003,bcu,,,
408,J0333.6+0233,,,,
409,J0333.6+2916,bll,,J0333.7+2919,J0333.7+2918
410,J0333.9+6538,bll,,J0334.3+6536,J0334.3+6538
411,J0334.2+3915,rdg,,,
412,J0334.3-4008,bll,J0334.1-4006,J0334.2-4010,J0334.2-4008
413,J0334.3-3726,bll,,J0334.4-3727,J0334.3-3728
