,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
100,J1749.2-2911,,,,,,,,,,,,
101,J2023.5+4126,J2023.4+4127,bcu,J2023.5+4126,J2023.4+4127,bcu,J2023.5+4126,J2023.4+4127,bcu,J2023.5+4126,J2023.4+4127,bcu,J2023.5+4126
102,J1528.3-5836,J1528.4-5838,PSR,J1528.3-5836,J1528.4-5838,PSR,J1528.3-5836,J1528.4-5838,PSR,J1528.3-5836,J1528.4-5838,PSR,J1528.3-5836
103,J1650.0-4438c,J1649.3-4441,,J1650.0-4438c,J1649.3-4441,,J1650.0-4438c,J1649.3-4441,,J1650.0-4438c,J1649.3-4441,,J1650.0-4438c
104,J1557.0-4225,,,,,,,,,,,,
105,J1016.5-6034,J1015.5-6030,,J1016.5-6034,J1015.5-6030,,J1016.5-6034,J1015.5-6030,psr,J1016.5-6034,J1015.5-6030,psr,J1016.5-6034
106,J2032.5+3921,,,,,,,,,,,,
107,J1033.0-5945,,,,,,,,,,,,
108,J1552.8-5330,,,,,,,,,,,,
109,J1753.6-4447,,,,,,,,,,,,
110,J1037.9-5843,,,,,,,,,,,,
111,J0541.1+3553,,,,,,,,,,,,
112,J0312.1-0921,J0312.1-0921,,J0312.1-0921,J0312.1-0921,psr,J0312.1-0921,J0312.1-0921,MSP,J0312.1-0921,J0312.1-0921,MSP,J0312.1-0921
113,J0855.4-4818,,,,,,,,,,,,
114,J1919.9+1407,,,,,,,,,,,,
115,J1544.6-1125,J1544.5-1126,bcu,J1544.6-1125,J1544.5-1126,lmb,J1544.6-1125,J1544.5-1126,lmb,J1544.6-1125,J1544.5-1126,lmb,J1544.6-1125
116,J2042.4+4209,,,,,,,J2042.1+4209,bcu,J2042.4+4209,J2042.1+4209,bcu,J2042.4+4209
117,J1737.9-2511,,,,,,,J1738.2-2510,,J1737.9-2511,J1738.2-2510,,J1737.9-2511
118,J2333.0-5525,J2333.1-5527,,J2333.0-5525,J2333.1-5527,bin,J2333.0-5525,J2333.1-5527,msp,J2333.0-5525,J2333.1-5527,MSP,J2333.0-5525
119,J2039.4+4111,,,,,,,,,,,,
