,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
87,J2023.5+4126,"[2.5399656295776367, 3.890889779838621, -24.30581843302269, -26.441189904353646, 2.1757944973065695, -0.8302641357783033]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
88,J1528.3-5836,"[2.28411602973938, 4.230030747548712, -27.681084362000092, -27.374483838702236, 1.8431791015869798, -0.7074494787010794]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
89,J1650.0-4438c,"[2.7087767124176025, 4.074249075884788, -22.42966356835372, -26.041409364852584, -0.08180971775855012, -0.876349137913282]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,AGN,PSR,AGN,AGN,AGN
90,J1557.0-4225,"[2.3266663551330566, 3.8745060646394567, -24.06811314645001, -27.053900268263895, 1.486166144019881, -0.9160050817063551]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
91,J1016.5-6034,"[2.9677140712738037, 3.9028411955627904, -24.864958861856095, -26.927814627441368, 1.7627202082100895, -0.8984668321273116]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
92,J2032.5+3921,"[2.648052215576172, 3.9001814724009463, -26.920734705569558, -26.328476621171884, 1.8865945630384957, -0.7075618152059017]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
93,J1033.0-5945,"[2.379606246948242, 3.6457148779553177, -27.500378306702416, -26.42041059547857, 0.5349944156848132, -0.8140741082392665]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
94,J1552.8-5330,"[2.4749271869659424, 3.8381551308384205, -26.964777239798615, -25.97442888247524, 1.9996174548452197, -0.13817684791166623]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
95,J1753.6-4447,"[2.165799379348755, 3.7144063929273665, -28.286772784140997, -27.38682436721775, 1.394640799226192, -0.7854862847516799]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
96,J1037.9-5843,"[2.5920827388763428, 3.6603879712978786, -27.936040107662723, -26.387684506336548, 1.588120264018819, -0.8687090795669794]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
